Name,Year,Miles,Price,model_avg_price,model_listing_count,Age,AgeBand,MileageBand,price_zscore
MINI Coupe,2015,32968,19590,16523.333333333332,3,8,6-8,20-40k,-0.2764846055992195
Mitsubishi Mirage G,2020,40536,15990,16790.0,16,3,2-4,40-60k,-0.7304320644835731
Mercedes-Benz SLK-Class,2011,30836,24590,23634.444444444445,9,12,10-15,20-40k,0.3539979761846049
Toyota Prius v,2014,85050,17990,19140.0,12,9,8-10,80-100k,-0.47823903177004334
Volkswagen Tiguan,2018,45077,20590,20451.456140350878,57,5,4-6,40-60k,-0.15038808924245464
Nissan Versa,2013,82983,12590,15995.263157894737,95,10,8-10,80-100k,-1.1591602200965736
MAZDA CX-,2016,57429,19590,23001.7,140,7,6-8,40-60k,-0.2764846055992195
Toyota Camry,2014,81961,16590,20721.41134751773,141,9,8-10,80-100k,-0.6547741546695142
MAZDA MAZDA,2015,50194,19590,17840.6338028169,142,8,6-8,40-60k,-0.2764846055992195
Volkswagen Passat,2015,103569,15990,18311.052631578947,76,8,6-8,100-130k,-0.7304320644835731
FIAT  Abarth,2014,60169,15590,18890.0,4,9,8-10,60-80k,-0.780870671026279
Ford Explorer,2018,82144,24590,24112.425531914894,47,5,4-6,80-100k,0.3539979761846049
Nissan LEAF,2015,27590,15990,19142.63157894737,38,8,6-8,20-40k,-0.7304320644835731
Jeep Renegade,2015,93583,16590,20176.3661971831,71,8,6-8,80-100k,-0.6547741546695142
Jeep Cherokee,2019,49525,22990,21467.63829787234,141,4,2-4,40-60k,0.15224355001378106
Ford Fusion,2017,35538,20990,18113.032,125,6,4-6,20-40k,-0.09994948269974868
FIAT X,2016,35194,20590,17755.217391304348,23,7,6-8,20-40k,-0.15038808924245464
Ford EcoSport,2018,63245,16990,19908.256756756757,74,5,4-6,60-80k,-0.6043355481268082
Kia Forte,2021,23592,21990,17017.92156862745,102,2,0-2,20-40k,0.026147033657016195
MAZDA MAZDA,2010,86312,12990,17840.6338028169,142,13,10-15,80-100k,-1.1087216135538678
MINI Convertible,2015,59250,18990,21253.157894736843,19,8,6-8,40-60k,-0.35214251541327846
Chevrolet Spark,2020,31686,16990,15980.290909090909,55,3,2-4,20-40k,-0.6043355481268082
MAZDA MAZDA,2015,80916,16590,17840.6338028169,142,8,6-8,80-100k,-0.6547741546695142
Chevrolet Equinox,2013,81283,14990,19319.105263157893,171,10,8-10,80-100k,-0.856528580840338
Chrysler Pacifica,2017,89376,23590,26151.657142857144,35,6,4-6,80-100k,0.22790145982784
Jeep Cherokee,2017,32660,19990,21467.63829787234,141,6,4-6,20-40k,-0.22604599905651357
Ford Fusion,2017,96104,15990,18113.032,125,6,4-6,80-100k,-0.7304320644835731
Lexus IS,2013,74431,19590,23340.0,28,10,8-10,60-80k,-0.2764846055992195
Honda Civic,2016,25144,22990,18925.32380952381,210,7,6-8,20-40k,0.15224355001378106
Toyota Corolla,2015,65137,17590,18560.486988847584,269,8,6-8,60-80k,-0.5286776383127493
Dodge Avenger,2013,103547,12990,13670.0,5,10,8-10,100-130k,-1.1087216135538678
Honda Civic,2015,56763,17590,18925.32380952381,210,8,6-8,40-60k,-0.5286776383127493
FIAT X,2017,77736,16590,17755.217391304348,23,6,4-6,60-80k,-0.6547741546695142
Hyundai Kona,2020,36118,23990,22149.1,30,3,2-4,20-40k,0.278340066370546
Nissan Altima,2016,96183,14590,19293.97340425532,188,7,6-8,80-100k,-0.9069671873830439
Volkswagen Jetta,2013,70662,14990,17068.442477876106,113,10,8-10,60-80k,-0.856528580840338
Chevrolet Camaro,2016,63738,23990,26673.675324675325,77,7,6-8,60-80k,0.278340066370546
Volkswagen Beetle,2014,100210,15990,20275.0,40,9,8-10,100-130k,-0.7304320644835731
Hyundai Tucson,2019,40323,22990,20007.2,70,4,2-4,40-60k,0.15224355001378106
Buick LaCrosse,2010,100275,12590,18705.78947368421,19,13,10-15,100-130k,-1.1591602200965736
Ford Escape,2018,69258,19990,19376.448,125,5,4-6,60-80k,-0.22604599905651357
Ford Focus,2017,32998,16990,14996.451612903225,93,6,4-6,20-40k,-0.6043355481268082
Toyota Corolla,2011,56347,15990,18560.486988847584,269,12,10-15,40-60k,-0.7304320644835731
Chevrolet Volt,2013,44561,17590,18150.0,25,10,8-10,40-60k,-0.5286776383127493
Volvo S,2010,54050,14990,22542.380952380954,21,13,10-15,40-60k,-0.856528580840338
Ford Focus,2018,19760,19590,14996.451612903225,93,5,4-6,0-20k,-0.2764846055992195
Buick Encore,2017,64277,17990,18820.149425287356,87,6,4-6,60-80k,-0.47823903177004334
GMC Acadia,2015,51641,24990,26526.174603174604,63,8,6-8,40-60k,0.4044365827273108
Kia Soul,2018,67669,16590,17106.064516129034,124,5,4-6,60-80k,-0.6547741546695142
Hyundai Tucson,2020,49048,21590,20007.2,70,3,2-4,40-60k,-0.02429157288568976
Dodge Journey,2019,36205,22990,19075.328125,64,4,2-4,20-40k,0.15224355001378106
Toyota Yaris iA,2017,59826,16990,17540.0,4,6,4-6,40-60k,-0.6043355481268082
Volkswagen Jetta,2020,17483,21990,17068.442477876106,113,3,2-4,0-20k,0.026147033657016195
Honda Fit,2011,82794,14990,17112.222222222223,54,12,10-15,80-100k,-0.856528580840338
Chevrolet Trax,2015,47798,16990,18076.951219512193,82,8,6-8,40-60k,-0.6043355481268082
Kia Forte,2019,16520,20990,17017.92156862745,102,4,2-4,0-20k,-0.09994948269974868
Jeep Cherokee,2016,62317,18990,21467.63829787234,141,7,6-8,60-80k,-0.35214251541327846
Volkswagen Passat,2013,54383,17590,18311.052631578947,76,10,8-10,40-60k,-0.5286776383127493
Toyota Sienna,2013,95008,18990,31905.78947368421,38,10,8-10,80-100k,-0.35214251541327846
Toyota Camry,2012,53611,17990,20721.41134751773,141,11,10-15,40-60k,-0.47823903177004334
Chevrolet Equinox,2019,63340,20590,19319.105263157893,171,4,2-4,60-80k,-0.15038808924245464
Hyundai Tucson,2019,60025,20990,20007.2,70,4,2-4,60-80k,-0.09994948269974868
Ford Edge,2018,50483,20990,20629.243243243243,74,5,4-6,40-60k,-0.09994948269974868
Toyota Prius,2012,87907,16590,19496.666666666668,60,11,10-15,80-100k,-0.6547741546695142
Chrysler,2013,53150,18990,20993.80612244898,98,10,8-10,40-60k,-0.35214251541327846
GMC Terrain,2018,60237,22990,21643.57627118644,59,5,4-6,60-80k,0.15224355001378106
Nissan Maxima,2017,63526,23990,24153.521739130436,23,6,4-6,60-80k,0.278340066370546
Volkswagen Passat,2015,47818,17990,18311.052631578947,76,8,6-8,40-60k,-0.47823903177004334
Dodge Grand Caravan Passenger,2019,86459,18590,18365.342465753423,73,4,2-4,80-100k,-0.4025811219559844
Chrysler Pacifica,2018,61971,24990,26151.657142857144,35,5,4-6,60-80k,0.4044365827273108
Honda Accord,2014,44590,19990,20338.34351145038,131,9,8-10,40-60k,-0.22604599905651357
Hyundai Elantra,2013,81781,13990,17041.33846153846,195,10,8-10,80-100k,-0.9826250971971029
Nissan Altima,2015,46030,16590,19293.97340425532,188,8,6-8,40-60k,-0.6547741546695142
Hyundai Sonata,2017,84962,16590,16759.738562091505,153,6,4-6,80-100k,-0.6547741546695142
Honda Civic,2014,100648,15990,18925.32380952381,210,9,8-10,100-130k,-0.7304320644835731
Nissan Sentra,2021,11497,23590,17151.21551724138,116,2,0-2,0-20k,0.22790145982784
Toyota Corolla,2017,14100,20990,18560.486988847584,269,6,4-6,0-20k,-0.09994948269974868
Dodge Grand Caravan Passenger,2016,86554,15990,18365.342465753423,73,7,6-8,80-100k,-0.7304320644835731
Chrysler,2015,88509,15590,20993.80612244898,98,8,6-8,80-100k,-0.780870671026279
Ford Escape,2014,102417,14990,19376.448,125,9,8-10,100-130k,-0.856528580840338
FIAT,2013,32155,13990,14531.935483870968,31,10,8-10,20-40k,-0.9826250971971029
Nissan JUKE,2015,83708,15990,16066.190476190477,21,8,6-8,80-100k,-0.7304320644835731
Nissan Sentra,2019,42584,17990,17151.21551724138,116,4,2-4,40-60k,-0.47823903177004334
